customerID,begin_date,end_date,type,paperless_billing,payment_method,monthly_charges,total_charges,gender,senior_citizen,partner,dependents,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
0002-ORFBO,5/1/2019,No,One year,1,Mailed check,65.6,593.3,1,0,1,1,0,DSL,0,1,0,1,1,0,0
0003-MKNFE,5/1/2019,No,Month-to-month,0,Mailed check,59.9,542.4,0,0,0,0,1,DSL,0,0,0,0,0,1,0
0004-TLHLJ,9/1/2019,1/1/2020 0:00,Month-to-month,1,Electronic check,73.9,280.85,0,0,0,0,0,Fiber optic,0,0,1,0,0,0,1
0011-IGKFF,12/1/2018,1/1/2020 0:00,Month-to-month,1,Electronic check,98,1237.85,0,1,1,0,0,Fiber optic,0,1,1,0,1,1,1
0013-EXCHZ,9/1/2019,12/1/2019 0:00,Month-to-month,1,Mailed check,83.9,267.4,1,1,1,0,0,Fiber optic,0,0,0,1,1,0,1
0013-MHZWF,5/1/2019,No,Month-to-month,1,Credit card (automatic),69.4,571.45,1,0,0,1,0,DSL,0,0,0,1,1,1,0
0013-SMEOE,3/1/2014,No,Two year,1,Bank transfer (automatic),109.7,7904.25,1,1,1,0,0,Fiber optic,1,1,1,1,1,1,0
0014-BMAQU,11/1/2014,No,Two year,1,Credit card (automatic),84.65,5377.8,0,0,1,0,1,Fiber optic,1,0,0,1,0,0,0
0015-UOCOJ,7/1/2019,No,Month-to-month,1,Electronic check,48.2,340.35,1,1,0,0,0,DSL,1,0,0,0,0,0,0
0016-QLJIS,9/1/2014,No,Two year,1,Mailed check,90.45,5957.9,1,0,1,1,1,DSL,1,1,1,1,1,1,0
0017-DINOC,8/1/2015,No,Two year,0,Credit card (automatic),45.2,2460.55,0,0,0,0,-1,DSL,1,0,0,1,1,0,0
0017-IUDMW,2/1/2014,No,Two year,1,Credit card (automatic),116.8,8456.75,1,0,1,1,1,Fiber optic,1,1,1,1,1,1,0
0018-NYROU,9/1/2019,No,Month-to-month,1,Electronic check,68.95,351.5,1,0,1,0,0,Fiber optic,0,0,0,0,0,0,0
0019-EFAEP,2/1/2014,No,Two year,1,Bank transfer (automatic),101.3,7261.25,1,0,0,0,1,Fiber optic,1,1,1,0,1,0,0
0019-GFNTW,6/1/2015,No,Two year,0,Bank transfer (automatic),45.05,2560.1,1,0,0,0,-1,DSL,1,1,1,1,0,0,0
0020-INWCK,3/1/2014,No,Two year,1,Credit card (automatic),95.75,6849.4,1,0,1,1,1,Fiber optic,0,1,1,0,0,1,0
0020-JDNXP,4/1/2017,No,One year,0,Mailed check,61.25,1993.2,1,0,1,1,-1,DSL,1,0,1,1,1,1,0
0021-IKXGC,1/1/2020,No,Month-to-month,1,Electronic check,72.1,72.1,1,1,0,0,1,Fiber optic,0,0,0,0,0,0,0
